,證券代號,100張以下人數,100張以下比例,101-200張人數,101-200張比例,201-400張人數,201-400張比例,401-800張人數,401-800張比例,801-1000張人數,801-1000張比例,1000張以上人數,1000張以上比例
1103,3208,102,32.02,3,14.52,1,6.92,0,0.0,0,0.0,1,46.49
1104,3209,29327,48.400000000000006,107,6.94,50,6.79,29,8.440000000000001,0,0.0,19,29.36
1105,3211,43001,55.01,65,6.06,32,5.83,17,6.1899999999999995,2,1.11,15,25.72
1106,3212,12,69.12,1,30.82,0,0.0,0,0.0,0,0.0,0,0.0
1107,3213,25072,65.42,25,6.34,9,4.44,6,4.949999999999999,3,4.48,4,14.31
1108,3216,5,99.99000000000001,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1109,3217,8085,26.139999999999993,41,6.54,24,7.67,14,8.16,8,7.65,10,43.77
1110,3218,9529,17.47,26,4.97,20,6.93,9,6.5600000000000005,1,1.06,16,62.94
1111,3219,1904,6.38,9,1.77,3,1.17,2,1.21,1,1.23,3,88.16
1112,3221,24338,44.93000000000001,46,6.32,32,8.51,24,12.94,7,6.02,11,21.19
1113,3222,13,99.99000000000001,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1114,3223,40,33.89,1,20.02,1,46.05,0,0.0,0,0.0,0,0.0
1115,3224,10405,29.49,41,7.75,19,7.39,10,7.76,3,4.23,13,43.31
1116,3226,1415,6.529999999999999,11,2.4,11,5.07,13,10.95,3,4.52,8,70.43
1117,3227,46104,60.57,42,4.23,27,5.13,13,5.04,3,1.89,16,23.05
1118,3228,14289,56.02000000000001,35,7.14,13,5.15,9,7.44,0,0.0,8,24.18
1119,3229,5181,43.76999999999999,22,9.3,10,10.04,1,1.64,0,0.0,1,35.2
1120,3230,4253,33.480000000000004,38,7.61,13,4.93,13,9.82,2,2.31,11,41.8
1121,3231,215649,29.78,758,3.61,355,3.42,178,3.3499999999999996,37,1.14,259,58.61
1122,3232,10167,47.72,17,7.21,11,8.15,2,3.36,1,2.25,4,31.22
1123,3233,39,99.97,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1124,3234,24840,72.77,43,8.0,15,5.49,9,6.22,1,1.11,3,6.33
1125,3236,32221,57.50000000000001,38,5.64,15,4.15,10,6.04,3,2.87,7,23.73
1126,3237,115,85.12,2,14.83,0,0.0,0,0.0,0,0.0,0,0.0
1127,3239,8,5.52,0,0.0,0,0.0,1,94.47,0,0.0,0,0.0
1128,3240,3,99.99000000000001,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1129,3252,2313,15.280000000000001,14,4.01,13,8.1,8,8.58,3,5.74,12,58.22
1130,3257,26794,48.46,38,6.53,23,8.31,22,15.59,2,2.23,7,18.82
1131,3258,94830,79.88000000000001,114,5.37,47,4.83,11,1.92,2,0.6,10,7.32
1132,3259,3871,22.740000000000002,41,7.73,27,10.27,19,12.81,2,2.35,12,44.04
1133,3260,74436,68.72000000000001,83,4.32,36,3.8,24,4.92,5,1.71,16,16.46
1134,3264,62445,30.89,130,3.79,83,4.72,43,4.71,14,2.54,57,53.28
1135,3265,8680,26.119999999999997,48,5.16,24,5.16,10,3.91,1,0.6,5,58.98
1136,3266,2825,5.460000000000001,47,1.94,17,1.28,12,1.9200000000000002,3,0.71,24,88.61
1137,3267,521,40.0,22,15.78,8,12.69,2,6.2,0,0.0,2,25.26
1138,3268,15204,52.239999999999995,19,8.13,7,5.15,5,8.78,0,0.0,5,25.64
1139,3272,6207,44.209999999999994,10,2.24,6,2.64,3,3.13,1,1.54,6,46.17
1140,3274,24,11.17,3,7.43,1,6.92,4,44.11,2,30.32,0,0.0
1141,3276,11240,23.529999999999998,19,3.95,8,3.1,9,7.02,0,0.0,7,62.32
1142,3278,18,99.98,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1143,3279,133,64.92,1,9.57,1,25.44,0,0.0,0,0.0,0,0.0
1144,3280,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0
1145,3283,137,26.89,7,15.91,2,7.65,3,22.4,1,12.01,1,15.08
1146,3284,18880,17.47,22,4.65,18,7.0,12,9.73,5,6.76,9,54.31
1147,3285,9464,25.39,17,5.95,13,8.26,12,16.53,1,1.93,8,41.86
1148,3286,46,99.97999999999999,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1149,3287,3106,31.67,8,2.43,7,4.57,6,8.14,2,4.33,4,48.76
1150,3288,4076,35.15,10,5.98,6,7.59,7,17.45,1,3.83,3,29.94
1151,3289,30287,66.64,46,7.68,15,4.97,12,8.69,4,4.68,4,7.25
1152,3290,24337,32.550000000000004,47,6.87,28,7.66,23,12.200000000000001,5,4.51,17,36.13
1153,3293,13603,33.879999999999995,41,8.32,25,9.88,21,17.0,0,0.0,10,30.86
1154,3294,10177,29.830000000000005,25,2.58,17,3.68,11,4.8,4,2.7,16,56.33
1155,3295,20,99.96000000000001,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1156,3296,3534,17.64,28,3.84,15,4.69,11,6.17,4,3.59,22,63.99
1157,3297,6781,36.84,5,1.82,6,5.45,7,11.28,3,7.66,6,36.86
1158,3301,905,10.98,42,4.74,23,5.17,11,5.140000000000001,5,3.79,24,70.11
1159,3302,2,1.84,0,0.0,1,98.15,0,0.0,0,0.0,0,0.0
1160,3303,12329,30.74,44,6.52,40,12.63,15,8.82,2,1.86,18,39.33
1161,3304,405,38.06,13,11.24,9,17.64,5,16.65,1,6.61,1,9.71
1162,3305,28870,38.85,42,4.44,22,4.46,18,7.01,3,1.92,14,43.23
1163,3306,9888,39.099999999999994,11,2.75,11,6.01,9,8.92,0,0.0,3,43.14
1164,3308,5594,17.759999999999998,9,1.8,9,3.5,3,2.36,0,0.0,12,74.5
1165,3309,20,8.58,1,5.94,1,8.34,1,23.19,0,0.0,1,53.91
1166,3310,1875,12.809999999999999,19,5.31,12,7.48,9,10.620000000000001,0,0.0,11,63.7
1167,3311,24625,38.64,31,6.27,9,3.93,5,3.45,0,0.0,6,47.64
1168,3312,22026,35.7,52,4.93,26,5.39,15,5.85,1,0.59,12,47.47
1169,3313,18809,22.990000000000002,33,4.06,20,4.34,8,3.25,1,0.7,9,64.57
1170,3317,35236,63.79,17,3.98,11,5.37,6,4.95,2,2.79,4,19.05
1171,3318,854,19.47,40,10.63,26,13.04,11,11.620000000000001,2,3.34,6,41.84
1172,3320,4,6.08,1,93.91,0,0.0,0,0.0,0,0.0,0,0.0
1173,3321,11702,39.1,94,8.11,35,6.28,16,5.41,1,0.62,6,40.4
1174,3322,31930,62.05,33,4.42,13,3.17,6,2.65,1,0.78,9,26.85
1175,3323,35107,72.63,35,6.18,16,5.36,7,5.18,0,0.0,5,10.6
1176,3324,20055,34.12,39,6.42,31,10.67,23,15.23,3,3.04,10,30.46
1177,3325,26382,54.59,51,8.32,27,9.21,17,11.629999999999999,2,2.25,5,13.93
1178,3328,42,25.28,0,0.0,0,0.0,1,74.71,0,0.0,0,0.0
1179,3330,4,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1180,3331,8,99.99,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1181,3332,1656,8.02,4,1.49,5,2.85,4,5.8,2,3.73,10,78.05
1182,3333,4,99.99,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1183,3334,121,9.99,4,4.59,3,7.4,1,5.68,0,0.0,2,72.29
1184,3338,28305,63.550000000000004,22,4.07,16,5.27,7,4.34,1,1.04,4,21.66
1185,3339,7525,41.059999999999995,25,6.48,11,5.58,12,14.89,0,0.0,5,31.9
1186,3342,698,25.71,34,11.52,16,10.75,6,8.16,5,10.7,5,33.08
1187,3343,796,29.32,53,12.91,31,14.97,6,5.699999999999999,1,1.45,4,35.6
1188,3344,33,16.07,4,19.5,3,31.78,2,32.6,0,0.0,0,0.0
1189,3345,111,1.97,0,0.0,3,2.51,1,1.56,0,0.0,1,93.89
1190,3346,15054,54.13999999999999,39,5.7,18,5.53,7,3.62,2,1.67,9,29.27
1191,3348,42,43.14,1,6.16,2,30.8,1,19.86,0,0.0,0,0.0
1192,3349,486,12.64,14,6.37,10,8.48,11,19.29,4,10.28,6,42.86
1193,3350,920,48.269999999999996,22,11.85,11,11.53,7,13.04,0,0.0,1,15.24
1194,3353,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1195,3354,5615,23.37,10,1.68,8,3.08,1,1.14,0,0.0,5,70.67
1196,3355,9,99.97999999999999,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1197,3356,28532,62.9,47,6.88,18,5.33,4,2.55,2,1.98,5,20.27
1198,3357,10196,29.54,26,3.57,26,6.7,20,12.09,4,3.59,14,44.45
1199,3360,20846,61.87,41,8.52,8,3.3,12,9.71,1,1.42,4,15.1
1200,3361,355,9.11,13,3.88,9,5.56,9,10.84,2,3.48,8,67.05
1201,3362,18856,35.34,26,2.75,19,4.12,7,3.05,1,0.7,20,53.95
1202,3363,20226,53.66,57,9.12,25,8.08,16,10.78,0,0.0,6,18.3
1203,3364,213,58.93,4,21.49,2,19.52,0,0.0,0,0.0,0,0.0
1204,3366,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1205,3369,4645,34.6,10,4.88,5,4.3,1,1.8,0,0.0,2,54.35
1206,3370,46,70.1,1,29.86,0,0.0,0,0.0,0,0.0,0,0.0
1207,3371,24,13.33,2,10.19,0,0.0,0,0.0,0,0.0,1,76.42
1208,3372,19806,40.04,65,5.16,38,5.47,9,2.64,1,0.51,16,46.1
1209,3373,21750,67.54,10,3.16,4,2.24,2,2.75,0,0.0,3,24.24
1210,3374,41766,42.97,47,2.51,32,3.21,16,3.2800000000000002,2,0.68,10,47.28
1211,3376,18132,26.51,49,3.65,34,5.31,34,9.75,7,3.34,33,51.37
1212,3377,190,15.969999999999999,5,4.27,8,16.97,12,41.519999999999996,1,5.77,2,15.44
1213,3379,13259,42.739999999999995,12,4.1,6,4.85,3,3.87,0,0.0,6,44.39
1214,3380,38343,23.560000000000002,96,2.52,47,2.34,18,1.9,1,0.16,21,69.45
1215,3381,8,99.99000000000001,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1216,3383,12261,50.51,33,6.54,15,6.65,6,5.66,2,2.42,6,28.15
1217,3386,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0
1218,3388,7987,43.36,34,6.85,20,7.13,9,6.18,3,3.91,5,32.49
1219,3390,25678,45.02,39,8.79,19,8.16,10,8.87,3,4.25,6,24.84
1220,3391,867,18.14,55,11.71,25,9.87,15,11.399999999999999,6,8.01,13,40.81
1221,3394,173,79.02,2,20.95,0,0.0,0,0.0,0,0.0,0,0.0
1222,3397,1887,93.07,3,4.25,1,2.63,0,0.0,0,0.0,0,0.0
1223,3401,9,42.83,1,57.13,0,0.0,0,0.0,0,0.0,0,0.0
1224,3402,21896,55.210000000000015,49,9.17,12,4.29,4,3.67,0,0.0,7,27.59
1225,3404,50,82.32000000000001,1,17.64,0,0.0,0,0.0,0,0.0,0,0.0
1226,3406,21052,32.650000000000006,42,5.24,26,6.82,15,6.95,8,6.19,20,42.08
1227,3408,11,99.99000000000001,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
