,證券代號,100張以下人數,100張以下比例,101-200張人數,101-200張比例,201-400張人數,201-400張比例,401-800張人數,401-800張比例,801-1000張人數,801-1000張比例,1000張以上人數,1000張以上比例
625,2335,6234,48.690000000000005,30,8.45,15,8.39,8,8.16,1,1.69,4,24.54
626,2337,314789,49.1,637,4.8,311,4.6,125,3.8,22,1.07,148,36.55
627,2338,50166,40.58,65,3.47,42,4.8,25,5.59,7,2.45,32,43.04
628,2340,73005,40.87,134,4.39,68,4.41,38,4.89,12,2.46,34,42.9
629,2341,26180,19.3,1,1.0,1,3.32,0,0.0,0,0.0,1,76.34
630,2342,141088,49.230000000000004,38,3.57,17,2.96,10,3.36,2,1.22,8,39.59
631,2344,275042,29.179999999999996,774,2.75,336,2.41,178,2.49,43,0.96,244,62.12
632,2345,33333,9.66,147,3.74,94,4.88,79,8.23,27,4.26,108,69.14
633,2347,46203,10.989999999999998,266,2.28,179,3.05,99,3.32,21,1.14,168,79.15
634,2348,18696,15.96,21,2.58,13,3.39,7,3.5,1,0.82,19,73.68
635,2348A,4401,16.25,4,1.9,4,3.44,2,5.0,0,0.0,2,73.35
636,2349,126201,54.34,442,8.72,217,8.66,73,5.869999999999999,24,3.05,39,19.29
637,2351,12534,13.659999999999998,52,3.98,36,5.3,23,7.09,3,1.45,40,68.44
638,2352,136008,29.600000000000005,722,5.08,323,4.58,177,4.92,23,1.05,146,54.68
639,2353,292941,38.35000000000001,1041,4.78,423,3.85,220,4.02,44,1.29,285,47.66
640,2354,146853,35.9,255,2.49,113,2.2,66,2.67,15,0.94,82,55.72
641,2355,41508,39.18,141,5.2,53,3.98,46,6.550000000000001,11,2.49,49,42.52
642,2356,122196,15.26,449,1.78,234,1.84,159,2.46,28,0.7,240,77.87
643,2357,104030,20.81,201,3.88,128,4.93,102,7.73,26,3.16,123,59.41
644,2358,28776,49.78,60,6.82,29,6.24,10,4.11,4,3.13,8,29.86
645,2359,25297,37.04,70,6.01,39,7.24,13,4.06,2,1.07,20,44.52
646,2360,7122,5.26,88,2.99,57,3.81,60,8.059999999999999,16,3.39,92,76.41
647,2361,19377,37.96,8,2.52,11,6.59,3,3.8200000000000003,1,1.91,2,47.14
648,2362,24253,11.540000000000001,103,2.3,57,2.5,24,2.02,6,0.82,82,80.73
649,2363,126160,53.96,222,4.38,92,3.73,49,3.84,3,0.38,29,33.64
650,2364,27127,39.64,2,0.82,0,0.0,2,5.56,0,0.0,1,53.91
651,2364A,4,99.99,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
652,2365,41358,50.480000000000004,113,7.2,53,6.56,17,4.33,7,2.84,17,28.5
653,2367,90051,59.559999999999995,253,5.77,98,4.29,51,4.37,8,1.15,38,24.76
654,2368,48115,17.119999999999997,75,1.86,63,3.32,37,3.8,12,1.91,66,71.9
655,2369,85487,58.879999999999995,103,3.77,57,4.08,19,2.74,9,2.18,24,28.28
656,2371,185763,24.380000000000003,508,3.05,226,2.75,105,2.51,22,0.86,136,66.36
657,2373,13732,7.6,17,1.07,15,1.86,0,0.0,2,0.69,29,88.72
658,2374,56603,48.34,125,6.21,47,4.62,33,6.529999999999999,4,1.27,22,32.95
659,2375,52808,68.01000000000002,36,3.75,20,4.36,18,7.43,3,2.04,9,14.36
660,2376,54832,19.02,120,2.7,84,3.76,47,4.2,9,1.32,90,68.93
661,2377,45780,12.51,148,2.46,126,4.22,81,5.25,28,3.03,115,72.46
662,2378,18165,51.50000000000001,80,7.68,43,8.58,14,5.49,4,2.55,10,24.11
663,2379,42688,11.919999999999998,196,5.52,144,7.74,91,10.280000000000001,22,3.8,96,60.67
664,2380,34334,45.190000000000005,79,5.63,40,5.59,18,5.09,1,0.44,7,38.0
665,2381,37644,21.700000000000006,2,4.73,1,5.71,0,0.0,0,0.0,1,67.8
666,2382,92853,7.53,264,0.99,170,1.28,144,2.12,42,0.99,262,87.01
667,2383,21345,10.6,79,3.38,55,4.57,60,10.059999999999999,13,3.51,55,67.8
668,2384,156738,56.370000000000005,1239,8.74,523,7.31,192,5.18,42,1.87,98,20.46
669,2385,35359,17.26,165,3.16,102,3.76,68,5.12,11,1.36,128,69.25
670,2387,13981,25.24,39,2.88,24,3.3,6,1.78,3,1.38,15,65.34
671,2388,51791,20.840000000000007,55,1.49,34,1.95,23,2.62,1,0.18,29,72.83
672,2390,31340,52.49999999999999,78,5.01,26,3.48,18,4.6499999999999995,0,0.0,8,34.29
673,2392,63951,45.15,145,3.88,62,3.27,27,2.8499999999999996,3,0.51,27,44.25
674,2393,42770,33.559999999999995,109,3.54,50,3.31,51,6.109999999999999,13,2.61,72,50.8
675,2395,9429,4.25,147,2.75,105,3.75,90,6.76,21,2.39,93,80.03
676,2396,55535,38.269999999999996,782,9.0,331,7.4,154,6.86,24,1.69,63,36.7
677,2397,5680,14.19,7,0.83,8,1.79,2,0.87,1,0.75,8,81.51
678,2398,39115,52.21,240,7.93,72,4.83,21,2.73,5,1.07,20,31.15
679,2399,31736,61.75000000000001,45,3.45,25,3.84,8,2.81,6,3.03,11,25.04
680,2401,102652,48.949999999999996,171,4.11,81,3.84,49,4.49,12,1.87,47,36.68
681,2402,37956,45.379999999999995,113,5.4,56,5.06,32,5.74,6,1.74,26,36.59
682,2404,37678,48.71,68,5.27,38,5.78,19,6.1,3,1.46,23,32.6
683,2405,60611,61.88,169,7.35,66,5.25,29,4.58,7,1.9,21,18.96
684,2406,61369,52.93999999999999,95,4.67,39,3.76,19,3.76,9,2.85,24,31.95
