,證券代號,證券名稱,公司名稱,資本額,成立日期,上市日期,殖利率,本益比,淨值比
105,1513,中興電,中興電工機械股份有限公司,50.3112515,19560501,19940308,1.91,51.79,5.01
106,1514,亞力,亞力電機股份有限公司,26.1931886,19680925,19940326,1.21,44.61,6.96
107,1515,力山,力山工業股份有限公司,18.14735,19730430,19950204,2.62,13.24,2.16
108,1516,川飛,川飛能源股份有限公司,3.8820143,19860220,19950401,1.26,46.60,2.05
109,1517,利奇,利奇機械工業股份有限公司,22.5685007,19730516,19951114,1.17,-,1.03
110,1519,華城,華城電機股份有限公司,26.1058548,19690826,19970416,0.74,83.11,48.61
111,1521,大億,大億交通工業製造股份有限公司,7.623,19760128,19971006,1.80,54.10,1.64
112,1522,堤維西,堤維西交通工業股份有限公司,34.2897881,19860909,19971006,2.79,16.13,2.47
113,1524,耿鼎,耿鼎企業股份有限公司,16.5310397,19860313,19981030,3.74,12.02,2.15
114,1525,江申,江申工業股份有限公司,7.3400135,19630530,19990515,4.44,20.99,1.11
115,1526,日馳,日馳企業股份有限公司,6.0,19720526,20000327,1.88,-,1.37
116,1527,鑽全,鑽全實業股份有限公司,13.857064,19830702,20000621,4.60,13.81,1.24
117,1528,恩德,恩德科技股份有限公司,19.1331,19720721,20000911,0.75,-,1.08
118,1529,樂事綠能,樂事綠能科技股份有限公司,15.0577742,19780524,20000911,1.76,69.69,2.95
119,1530,亞崴,亞崴機電股份有限公司,9.6594171,19860716,20000911,4.69,14.55,0.93
120,1531,高林股,高林股份有限公司,18.360808,19651005,20000911,1.35,51.03,0.74
121,1532,勤美,勤美股份有限公司,37.8896179,19720909,20000911,3.22,11.87,1.33
122,1533,車王電,車王電子股份有限公司,9.8547486,19820719,20010406,0.00,-,1.99
123,1535,中宇,中宇環保工程股份有限公司,12.3742552,19930315,20010917,4.67,15.61,2.32
124,1536,和大,和大工業股份有限公司,27.9517513,19730116,20010917,1.81,46.47,1.74
125,1537,廣隆,廣隆光電科技股份有限公司,8.2062794,19900125,20020122,4.90,16.86,2.63
126,1538,正峰,正峰工業股份有限公司,5.3838999,19760424,20020826,0.00,-,5.43
127,1539,巨庭,巨庭機械股份有限公司,6.537,19810817,20021029,2.49,14.49,0.97
128,1540,喬福,喬福機械工業股份有限公司,8.5473612,19840808,20020826,4.98,12.21,1.27
129,1541,錩泰,錩泰工業股份有限公司,7.88,19890421,20030319,1.58,17.32,1.28
130,1558,伸興,伸興工業股份有限公司,6.6535631,19750103,20141223,3.76,20.04,1.22
131,1560,中砂,中國砂輪企業股份有限公司,14.50805,19640708,20050131,1.22,51.17,8.13
132,1563,巧新,巧新科技工業股份有限公司,21.425514,19940624,20240513,2.43,26.13,2.07
133,1568,倉佑,倉佑實業股份有限公司,10.3086559,19850116,20140514,4.76,8.94,1.63
134,1582,信錦,信錦企業股份有限公司,14.2969989,19790707,20091217,3.81,18.18,2.10
135,1583,程泰,程泰機械股份有限公司,11.0400372,19750928,20080124,5.87,12.22,1.35
136,1587,吉茂,吉茂精密股份有限公司,6.8624449,19840822,20180416,1.51,115.96,3.29
137,1589,永冠-KY,永冠能源科技集團有限公司,11.8135941,20080122,20120427,0.00,-,0.66
138,1590,亞德客-KY,亞德客國際集團,19.9999998,20090916,20101213,1.79,27.55,4.75
139,1597,直得,直得科技股份有限公司,8.9261804,19981019,20201223,1.06,67.84,2.83
140,1598,岱宇,岱宇國際股份有限公司,15.9609754,19900602,20160920,0.00,208.33,1.05
141,1603,華電,中華電線電纜股份有限公司,19.1688,19610223,19680603,2.89,13.87,1.07
142,1604,聲寶,聲寶股份有限公司,38.42,19620911,19701214,5.20,13.67,1.32
143,1605,華新,華新麗華股份有限公司,403.1332948,19661202,19721103,3.10,36.60,1.01
144,1608,華榮,華榮電線電纜股份有限公司,63.2773506,19561208,19880711,2.61,18.44,2.04
145,1609,大亞,大亞電線電纜股份有限公司,73.6816274,19621107,19881212,3.05,33.61,2.77
146,1611,中電,中國電器股份有限公司,32.2735742,19550201,19900116,2.53,37.98,1.45
147,1612,宏泰,宏泰電工股份有限公司,31.6080063,19680808,19930508,5.16,18.72,1.55
148,1614,三洋電,台灣三洋電機股份有限公司,26.9113406,19630213,19970918,2.33,40.94,2.23
149,1615,大山,大山電線電纜股份有限公司,16.3722696,19740415,20000330,4.11,19.50,3.60
150,1616,億泰,億泰電線電纜股份有限公司,19.4148515,19880321,20000911,1.54,19.24,2.38
151,1617,榮星,榮星電線工業股份有限公司,15.8756654,19710717,20000911,1.19,420.00,1.94
152,1618,合機,合機電線電纜股份有限公司,19.2691747,19890301,20000911,1.75,24.30,2.03
153,1626,艾美特-KY,艾美特(開曼)國際有限公司,15.2821721,20040311,20130321,1.90,-,0.77
154,1701,中化,中國化學製藥股份有限公司,29.808108,19520312,19620209,2.19,20.73,0.91
155,1702,南僑,南僑投資控股股份有限公司,29.4132962,19500630,19730530,4.26,11.46,1.50
156,1707,葡萄王,葡萄王生技股份有限公司,14.8137373,19710401,19821220,4.50,15.89,2.22
157,1708,東鹼,東南實業股份有限公司,24.9001651,19570302,19860616,4.45,26.96,1.32
158,1709,和益,和益化學工業股份有限公司,47.7016272,19730621,19860703,2.55,21.96,1.37
159,1710,東聯,東聯化學股份有限公司,88.5703029,19751222,19871021,1.16,-,1.25
160,1711,永光,臺灣永光化學工業股份有限公司,54.7752226,19720907,19881227,0.78,137.14,1.26
161,1712,興農,興農股份有限公司,42.0492585,19631120,19891214,6.36,17.25,2.41
162,1713,國化,國泰化工廠股份有限公司,15.09517,19621211,19900131,2.52,26.06,2.88
163,1714,和桐,和桐化學股份有限公司,101.6824808,19800801,19910830,3.01,13.46,0.79
164,1717,長興,長興材料工業股份有限公司,117.8265483,19641203,19940331,2.59,20.06,1.43
165,1718,中纖,中國人造纖維股份有限公司,168.5905745,19550511,19631202,0.00,-,0.52
166,1720,生達,生達化學製藥股份有限公司,17.8696089,19670630,19951212,3.64,15.11,2.50
167,1721,三晃,三晃股份有限公司,18.4884092,19741231,19960516,0.00,-,1.30
168,1722,台肥,台灣肥料股份有限公司,98.0,19460501,19980324,4.04,16.88,1.13
169,1723,中碳,中鋼碳素化學股份有限公司,23.690448,19890203,19981127,3.69,18.14,3.00
170,1725,元禎,元禎企業股份有限公司,18.1829978,19770720,20000911,1.86,36.52,1.77
171,1726,永記,永記造漆工業股份有限公司,16.2,19570529,20000911,4.29,15.37,1.29
172,1727,中華化,臺灣中華化學工業股份有限公司,12.3939331,19561030,20000911,1.01,271.36,1.80
173,1730,花仙子,花仙子企業股份有限公司,6.3233851,19830524,20010917,4.98,16.98,1.88
174,1731,美吾華,美吾華股份有限公司,13.2915244,19761001,20010917,4.61,19.05,1.57
175,1732,毛寶,毛寶股份有限公司,4.2443957,19781206,20010917,0.00,"1,552.50",2.73
176,1733,五鼎,五鼎生物技術股份有限公司,9.9950192,19971202,20010917,3.14,32.11,2.04
177,1734,杏輝,杏輝藥品工業股份有限公司,16.7722022,19770702,20020826,4.65,16.01,2.02
178,1735,日勝化,日勝化工股份有限公司,9.9388,19890515,20020826,2.78,21.18,1.16
179,1736,喬山,喬山健康科技股份有限公司,30.3616617,19751007,20030109,1.13,22.09,2.86
180,1737,臺鹽,臺鹽實業股份有限公司,20.0,19950701,20031118,3.53,22.94,1.03
181,1752,南光,南光化學製藥股份有限公司,10.0988472,19730820,20220119,3.68,34.37,2.46
182,1760,寶齡富錦,寶齡富錦生技股份有限公司,8.5739013,19760107,20180123,1.46,89.13,4.80
183,1762,中化生,中化合成生技股份有限公司,7.756,19640519,20101220,1.52,32.21,1.20
184,1773,勝一,勝一化工股份有限公司,25.0,19790124,20090227,2.13,23.26,4.11
185,1776,展宇,展宇科技材料股份有限公司,6.0106952,19760424,20160509,2.83,30.43,1.17
186,1783,和康生,和康生物科技股份有限公司,8.8957115,19981203,20131220,2.16,27.50,3.04
187,1786,科妍,科妍生物科技股份有限公司,6.8288536,20011112,20131112,1.88,45.70,5.87
