資料日期,證券代號,持股分級,人數,股數,占集保庫存數比例%
20211217,00632R,11,2846,821491276,8.37
20211217,00632R,12,953,476875122,4.86
20211217,00632R,13,431,304306005,3.10
20211217,00632R,14,264,242039001,2.46
20211217,00632R,15,701,6114874839,62.36
20211217,00632R,16,0,0,0.00
20211217,00632R,17,60470,9805649000,100.00
20211217,00633L,1,111,16840,0.00
20211217,00633L,2,2609,6352123,3.34
20211217,00633L,3,890,7279262,3.83
20211217,00633L,4,358,4685000,2.46
20211217,00633L,5,284,5265000,2.77
20211217,00633L,6,377,9781010,5.14
20211217,00633L,7,180,6570554,3.45
20211217,00633L,8,127,5895722,3.10
20211217,00633L,9,263,19508000,10.26
20211217,00633L,10,124,17475000,9.19
20211217,00633L,11,67,18131000,9.54
20211217,00633L,12,19,9324000,4.90
20211217,00633L,13,8,6123836,3.22
20211217,00633L,14,11,10210000,5.37
20211217,00633L,15,25,63340653,33.34
20211217,00633L,16,0,0,0.00
20211217,00633L,17,5453,189958000,100.00
20211217,00634R,1,25,1922,0.00
20211217,00634R,2,645,1644894,1.80
20211217,00634R,3,243,2086757,2.28
20211217,00634R,4,105,1408000,1.54
20211217,00634R,5,95,1790000,1.96
20211217,00634R,6,120,3195000,3.50
20211217,00634R,7,65,2393500,2.62
20211217,00634R,8,68,3158000,3.46
20211217,00634R,9,114,8493000,9.30
20211217,00634R,10,70,10357000,11.34
20211217,00634R,11,35,10124000,11.09
20211217,00634R,12,10,4867270,5.33
20211217,00634R,13,5,3653000,4.00
20211217,00634R,14,6,5673000,6.21
20211217,00634R,15,10,32410657,35.51
20211217,00634R,16,0,0,0.00
20211217,00634R,17,1616,91256000,100.00
20211217,00635U,1,700,172786,0.24
20211217,00635U,2,3573,7862346,11.22
20211217,00635U,3,622,5007561,7.15
20211217,00635U,4,217,2857876,4.08
20211217,00635U,5,170,3192936,4.56
20211217,00635U,6,131,3387783,4.83
20211217,00635U,7,62,2301602,3.28
20211217,00635U,8,38,1789652,2.55
20211217,00635U,9,81,5911493,8.44
20211217,00635U,10,32,4647051,6.63
20211217,00635U,11,18,5377000,7.67
20211217,00635U,12,8,3996882,5.70
20211217,00635U,13,2,1490000,2.12
20211217,00635U,14,0,0,0.00
20211217,00635U,15,7,22019032,31.44
20211217,00635U,16,0,0,0.00
20211217,00635U,17,5661,70014000,100.00
20211217,00636,1,1409,492713,0.36
20211217,00636,2,6606,15447285,11.58
20211217,00636,3,1683,13559864,10.16
20211217,00636,4,583,7545757,5.65
20211217,00636,5,391,7319337,5.48
20211217,00636,6,382,9790454,7.34
20211217,00636,7,150,5485112,4.11
20211217,00636,8,119,5611630,4.20
20211217,00636,9,201,15124198,11.34
20211217,00636,10,72,9995422,7.49
20211217,00636,11,35,10138372,7.60
20211217,00636,12,16,7943655,5.95
20211217,00636,13,4,2722000,2.04
20211217,00636,14,5,4646000,3.48
20211217,00636,15,8,17512201,13.13
20211217,00636,16,0,0,0.00
20211217,00636,17,11664,133334000,100.00
20211217,00636K,1,5,1700,2.77
20211217,00636K,2,4,7000,11.43
20211217,00636K,3,1,8000,13.07
20211217,00636K,4,0,0,0.00
20211217,00636K,5,0,0,0.00
20211217,00636K,6,0,0,0.00
20211217,00636K,7,0,0,0.00
20211217,00636K,8,1,44500,72.71
20211217,00636K,9,0,0,0.00
20211217,00636K,10,0,0,0.00
20211217,00636K,11,0,0,0.00
20211217,00636K,12,0,0,0.00
20211217,00636K,13,0,0,0.00
20211217,00636K,14,0,0,0.00
20211217,00636K,15,0,0,0.00
20211217,00636K,16,0,0,0.00
20211217,00636K,17,11,61200,100.00
20211217,00637L,1,278,56109,0.00
20211217,00637L,2,7222,19361252,1.85
20211217,00637L,3,3171,26189552,2.51
20211217,00637L,4,1423,18770180,1.80
20211217,00637L,5,1286,24073617,2.30
20211217,00637L,6,1334,35006396,3.35
20211217,00637L,7,793,28921861,2.77
20211217,00637L,8,592,27794850,2.66
20211217,00637L,9,1211,89640319,8.59
20211217,00637L,10,722,103468587,9.92
20211217,00637L,11,387,111097000,10.65
20211217,00637L,12,120,59513000,5.70
20211217,00637L,13,71,50565000,4.84
20211217,00637L,14,24,21513000,2.06
20211217,00637L,15,112,426635277,40.92
20211217,00637L,16,0,0,0.00
20211217,00637L,17,18746,1042606000,100.00
20211217,00638R,1,16,2096,0.00
20211217,00638R,2,448,1181719,2.49
20211217,00638R,3,214,1856000,3.91
20211217,00638R,4,80,1079351,2.27
20211217,00638R,5,85,1624000,3.42
20211217,00638R,6,71,1867000,3.93
20211217,00638R,7,47,1718000,3.62
20211217,00638R,8,26,1235002,2.60
20211217,00638R,9,53,3938368,8.30
20211217,00638R,10,43,6201000,13.06
20211217,00638R,11,17,4653000,9.80
20211217,00638R,12,3,1416000,2.98
20211217,00638R,13,1,790000,1.66
20211217,00638R,14,1,912000,1.92
20211217,00638R,15,7,18974464,39.99
20211217,00638R,16,0,0,0.00
20211217,00638R,17,1112,47448000,100.00
20211217,00639,1,1433,556730,0.50
20211217,00639,2,3688,9053625,8.16
20211217,00639,3,1176,9310847,8.39
20211217,00639,4,436,5603994,5.05
20211217,00639,5,331,6170173,5.56
20211217,00639,6,281,7250971,6.53
20211217,00639,7,123,4515913,4.07
20211217,00639,8,85,3951581,3.56
20211217,00639,9,162,11899630,10.72
20211217,00639,10,71,10302828,9.28
20211217,00639,11,28,7805211,7.03
20211217,00639,12,8,4038835,3.64
20211217,00639,13,2,1384000,1.24
20211217,00639,14,4,3566000,3.21
20211217,00639,15,12,25492662,22.98
20211217,00639,16,0,0,0.00
20211217,00639,17,7840,110903000,100.00
20211217,00640L,1,24,2794,0.02
20211217,00640L,2,251,603000,5.28
20211217,00640L,3,67,547664,4.79
20211217,00640L,4,26,334001,2.92
20211217,00640L,5,14,262000,2.29
20211217,00640L,6,25,620000,5.42
