,證券代號,證券名稱,公司名稱,實收資本額,成立日期,上市日期,殖利率,本益比,淨值比,收盤(1ma / 5ma / 20ma / 60ma),張數(1ma / 5ma / 20ma / 60ma),外資持股(%)(1ma / 5ma / 20ma / 60ma),券資比(%)(1ma / 5ma / 20ma / 60ma), 超額買超, 重押券商, 籌碼集中度, 買賣家數差
0,2352,佳世達,佳世達科技股份有限公司,19667819580,19840421,19960722,4.76,6.83,1.71,👍    31.5 /    30.88 /    30.64 /    30.31,  8800.0 /   4783.6 /  4591.85 /  5477.18,    20.0 /    19.86 /    19.98 /    20.16,     1.1 /     1.13 /     1.18 /     1.15,2.97,,7.7,-701
0,2385,群光,群光電子股份有限公司,7452927490,19830222,19990105,5.97,11.37,2.31,👍    92.2 /     91.2 /    89.78 /    84.94,  1251.0 /   1626.4 /  2667.75 /  2247.05,    35.3 /    35.26 /    35.11 /    34.18,    4.84 /     4.74 /      5.2 /     2.33,0.96,,17.02,-15
0,2387,精元,精元電腦股份有限公司,1952510510,19910722,19990125,4.58,6.83,1.08,👎   43.65 /    43.53 /    44.43 /    45.48,   187.0 /    400.4 /   450.45 /  1328.82,     0.5 /     0.54 /      0.5 /      1.1,    0.05 /     0.09 /     0.14 /     0.15,0.55,,-14.99,16
0,2417,圓剛,圓剛科技股份有限公司,1543138640,19900117,20000911,6.78,10.93,1.34,    29.5 /    29.66 /    31.21 /    29.17,   477.0 /    607.8 /   1309.6 /  3862.25,    1.42 /     1.43 /     1.39 /     1.82,    12.3 /    14.94 /    24.48 /    19.98,1.62,,18.25,5
0,2458,義隆,義隆電子股份有限公司,3038803920,19940505,20010917,5.16,9.99,5.22,👍   174.5 /    172.5 /   166.65 /    165.4,   997.0 /   1697.0 /  1849.65 /  2040.93,    22.3 /    22.28 /    21.82 /    21.79,    12.5 /    13.06 /     13.1 /    17.82,1.11,,2.82,1
0,2467,志聖,志聖工業股份有限公司,1521896590,19780418,20010917,5.53,11.75,2.86,👎    49.0 /    48.95 /    49.24 /    50.25,   132.0 /    157.2 /   288.75 /    429.6,    9.46 /     9.48 /     9.64 /    10.44,    0.74 /     0.74 /     0.85 /     0.64,2.25,,-12.9,38
0,2488,漢平,漢平電子工業股份有限公司,799994330,19690401,20010917,5.48,14.78,1.08,👎   27.35 /    27.52 /    27.82 /    27.48,    62.9 /    56.42 /    113.9 /   100.94,    2.18 /     2.18 /     2.19 /     2.23,     0.0 /      0.0 /      0.0 /      0.0,0.32,,-27.02,41
0,2520,冠德,冠德建設股份有限公司,5541701000,19791123,19931027,9.07,4.41,1.23,👍    37.5 /    37.25 /    36.57 /    37.46,   507.0 /    857.0 /    981.2 /  1367.39,    20.4 /     20.3 /    20.26 /    20.78,    1.41 /     1.63 /     1.47 /     0.92,1.06,,1.77,24
0,2546,根基,根基營造股份有限公司,1060356600,19820413,20000911,6.84,7.48,1.67,👍    52.6 /    52.26 /    51.43 /    50.24,    91.8 /   134.24 /   129.04 /   119.48,    3.75 /     3.73 /     3.72 /     3.73,     0.0 /      0.0 /      0.0 /      0.0,2.0,,17.42,2
0,2881,富邦金,富邦金融控股股份有限公司,134049543940,20011219,20011219,3.86,6.41,1.16,👍    77.8 /     77.3 /     77.7 /    76.09, 10497.0 /  17520.6 / 23775.15 / 22755.46,    21.9 /    21.84 /    22.03 /     22.0,     1.8 /     1.72 /     1.57 /     7.09,⚠️0.2,,⚠️-28.61,758
0,3005,神基,神基投資控股股份有限公司,5954614000,19891005,20020225,6.13,8.07,2.04,👍    58.6 /     57.7 /    55.64 /    54.77,  1543.0 /   1690.4 /   1257.9 /  1095.61,    29.5 /    29.54 /    29.84 /    30.63,    0.83 /     0.57 /     0.51 /     0.55,0.59,,-9.99,67
