,排  名,代號,名稱,市  場,股價  日期,K  線,成交,漲跌  價,漲跌  幅,成交  張數,成交額  (百萬),昨收,開盤,最高,最低,振幅  (%),PER,PBR,一個月  走勢圖,三個月  走勢圖,一年  走勢圖,三年  走勢圖
124,119,3041,揚智,市,01/17,,37.3,+1.35,+3.76,7741,287,35.95,36,37.8,35.95,5.15,,2.33,,,,
125,120,2337,旺宏,市,01/17,,40.6,+1.15,+2.92,7730,311,39.45,39.75,40.6,39.65,2.41,7.95,1.75,,,,
127,122,8104,錸寶,市,01/17,,76.2,+4.4,+6.13,7551,566,71.8,72.5,77.6,71.7,8.22,23.3,2.62,,,,
129,124,2406,國碩,市,01/17,,27.1,+0.9,+3.44,7521,202,26.2,26.45,27.45,26.2,4.77,69.5,2.63,,,,
130,125,6706,惠特,市,01/17,,244.5,+14.5,+6.3,7449,1770,230,227,244.5,225.5,8.26,20.9,4.98,,,,
135,129,0050,元大台灣50,市,01/17,,152,+1.7,+1.13,7202,1093,150.3,151.1,152.4,151.1,0.86,,,,,,
136,130,2476,鉅祥,市,01/17,,65.1,+2,+3.17,7111,460,63.1,63.1,66.3,62.7,5.71,18.8,2.46,,,,
137,131,4927,泰鼎-KY,市,01/17,,127.5,+1.5,+1.19,7064,879,126,124,127.5,121.5,4.76,23.4,3.56,,,,
138,132,2316,楠梓電,市,01/17,,35.05,+0.35,+1.01,7025,250,34.7,35.7,36.1,35.05,3.03,12.9,0.85,,,,
141,135,2353,宏碁,市,01/17,,30.45,+0.1,+0.33,6841,208,30.35,30.25,30.45,30.15,0.99,8.6,1.49,,,,
143,137,1560,中砂,市,01/17,,107,+1,+0.94,6714,710,106,107,107.5,103.5,3.77,26.7,3.38,,,,
144,138,00893,國泰智能電動車,市,01/17,,16.31,+0.01,+0.06,6686,109,16.3,16.3,16.34,16.29,0.31,,,,,,
146,140,3062,建漢,市,01/17,,27.8,+1.3,+4.91,6644,182,26.5,27.25,27.95,26.65,4.91,111,1.65,,,,
148,142,1727,中華化,市,01/17,,43.1,+0.25,+0.58,6469,277,42.85,42.9,43.8,41.75,4.78,29.7,3.31,,,,
152,145,2376,技嘉,市,01/17,,140.5,+2,+1.44,6353,888,138.5,137,142,136.5,3.97,8.3,2.68,,,,
154,147,2355,敬鵬,市,01/17,,38,+1.3,+3.54,6258,234,36.7,36.75,38,36.4,4.36,33.3,0.99,,,,
158,151,2481,強茂,市,01/17,,92,+2.7,+3.02,6020,547,89.3,89.6,92,89.3,3.02,18,3.72,,,,
159,152,6282,康舒,市,01/17,,34.6,+1.05,+3.13,5952,204,33.55,33.8,34.65,33.7,2.83,46.1,1.83,,,,
161,154,1802,台玻,市,01/17,,25,+0.1,+0.4,5932,146,24.9,24.85,25,24.3,2.81,6.87,1.46,,,,
164,157,2408,南亞科,市,01/17,,74.4,+0.1,+0.13,5719,425,74.3,74.3,74.9,73.9,1.35,13.3,1.38,,,,
166,159,8046,南電,市,01/17,,528,+14,+2.72,5653,2975,514,510,535,510,4.86,40.8,9.21,,,,
167,160,6235,華孚,市,01/17,,33.65,+0.9,+2.75,5642,188,32.75,32.85,33.9,32.6,3.97,38.7,2.45,,,,
171,163,2454,聯發科,市,01/17,,1115,+50,+4.69,5528,6095,1065,1075,1120,1070,4.69,18.3,4.46,,,,
173,165,3006,晶豪科,市,01/17,,150,+0.5,+0.33,5450,808,149.5,148,150.5,146,3.01,10.3,3.53,,,,
177,169,3545,敦泰,市,01/17,,157.5,+5.5,+3.62,5211,808,152,152,158,150,5.26,5.94,2.8,,,,
178,170,00892,富邦台灣半導體,市,01/17,,16.85,+0.17,+1.02,5193,87.2,16.68,16.7,16.85,16.7,0.9,,,,,,
181,173,2352,佳世達,市,01/17,,31,+0.5,+1.64,5034,156,30.5,30.6,31,30.6,1.31,6.71,1.69,,,,
183,175,4960,誠美材,市,01/17,,12.6,+0.35,+2.86,4992,62,12.25,12.2,12.65,12.1,4.49,9.92,0.81,,,,
185,177,6288,聯嘉,市,01/17,,29.85,+2.05,+7.37,4948,144,27.8,27.7,30.1,27.55,9.17,136,2.19,,,,
188,180,9945,潤泰新,市,01/17,,66.8,+0.8,+1.21,4886,326,66,66.4,67.1,66.1,1.52,9.14,1.32,,,,
190,181,2006,東和鋼鐵,市,01/17,,66.7,+2.2,+3.41,4852,321,64.5,65,67,64.5,3.88,12.1,1.75,,,,
192,183,6205,詮欣,市,01/17,,73.3,+5.5,+8.11,4802,346,67.8,66.8,74.2,66.8,10.9,40.9,2.84,,,,
193,184,00692,富邦公司治理,市,01/17,,37.24,+0.35,+0.95,4787,178,36.89,37.07,37.3,37.02,0.76,,,,,,
194,185,4961,天鈺,市,01/17,,225,+0.5,+0.22,4787,1068,224.5,222,226,220,2.67,7.76,2.9,,,,
197,188,2497,怡利電,市,01/17,,75.3,+3.2,+4.44,4667,347,72.1,73.8,75.8,72,5.27,502,6.88,,,,
198,189,1611,中電,市,01/17,,19.35,+0.7,+3.75,4602,87.8,18.65,18.6,19.5,18.5,5.36,138,1.51,,,,
199,190,2401,凌陽,市,01/17,,36.9,+1.4,+3.94,4591,167,35.5,35.9,36.9,35.5,3.94,21.8,2.28,,,,
201,192,3036,文曄,市,01/17,,85.3,+0.1,+0.12,4489,379,85.2,85.2,85.5,83.2,2.7,9.64,1.59,,,,
202,193,3706,神達,市,01/17,,33.6,+0.6,+1.82,4478,150,33,33.05,33.6,33,1.82,3.26,0.81,,,,
204,195,3532,台勝科,市,01/17,,270.5,+4,+1.5,4361,1171,266.5,272,277,262,5.63,79.1,5.12,,,,
206,197,2023,燁輝,市,01/17,,22.8,+0.05,+0.22,4347,97.9,22.75,22.6,22.85,22.3,2.42,9.54,1.41,,,,
210,200,2607,榮運,市,01/17,,29.6,+0.45,+1.54,4243,124,29.15,29.15,29.6,28.95,2.23,37.5,1.2,,,,
212,202,1437,勤益控,市,01/17,,29.6,+2.65,+9.83,4165,119,26.95,27.2,29.6,27.1,9.28,13.1,0.91,,,,
215,205,1304,台聚,市,01/17,,28.9,+0.15,+0.52,4132,118,28.75,28.85,29,28.4,2.09,6.32,1.29,,,,
216,206,2436,偉詮電,市,01/17,,87.3,+2.9,+3.44,4106,353,84.4,84.5,87.3,84.1,3.79,21.1,4.36,,,,
217,207,3596,智易,市,01/17,,125.5,+4.5,+3.72,4072,506,121,121.5,126.5,121.5,4.13,14,2.26,,,,
218,208,3592,瑞鼎,市,01/17,,624,+56,+9.86,4071,2466,568,584,624,582,7.39,,5.81,,,,
220,210,6196,帆宣,市,01/17,,173.5,+2.5,+1.46,4054,703,171,172,176,170,3.51,25.8,4.95,,,,
221,211,2390,云辰,市,01/17,,21.8,+1.15,+5.57,4049,88,20.65,20.7,22.4,20.7,8.23,3.42,1.23,,,,
231,220,1711,永光,市,01/17,,25.1,+0.5,+2.03,3908,97.7,24.6,24.5,25.25,24.5,3.05,28.5,1.59,,,,
233,222,8201,無敵,市,01/17,,16.3,+0.3,+1.88,3743,61,16,16.05,16.45,15.85,3.75,7.8,1.44,,,,
234,223,00895,富邦未來車,市,01/17,,18.26,+0.08,+0.44,3741,68.3,18.18,18.28,18.28,18.23,0.28,,,,,,
236,225,6257,矽格,市,01/17,,58.9,+0.9,+1.55,3626,212,58,58,59.2,57.8,2.41,10.1,1.85,,,,
