,排  名,代號,名稱,成交,漲跌  價,漲跌  幅,更新  日期,成交  價  歷日  排名,成交  價  創高  創低  日數,成交  張數,成交  張數  歷日  排名,成交  張數  創高  創低  日數,成交  金額  (百萬),成交  金額  歷日  排名,成交  金額  創高  創低  日數,1個月  走勢圖,3個月  走勢圖,1年  走勢圖,3年  走勢圖
120,115,2404,漢唐,393,+4.5,+1.16,03/29,+7,+2,10809,+72,+15,4275,+2,+15,,,,
121,116,2535,達欣工,57.1,+1.3,+2.33,03/29,+1,+7051,889,+3375,+15,50.5,+1466,+17,,,,
122,117,3226,至寶電,58.2,+2.4,+4.3,03/29,+1220,+10,88,+1148,+15,4.97,+836,+15,,,,
123,118,3290,東浦,24.5,+0.9,+3.81,03/29,+681,+17,1234,+872,+15,30.1,+737,+15,,,,
124,119,3530,晶相光,111,+4.5,+4.23,03/29,+390,+13,1847,+350,+15,205,+339,+15,,,,
125,120,3548,兆利,286.5,+26,+9.98,03/29,+5,+9,15430,+20,+15,4301,+8,+15,,,,
126,121,3711,日月光投控,161,+6,+3.87,03/29,+2,+16,32110,+77,+15,5103,+17,+15,,,,
127,122,4155,訊映,24.6,+0.55,+2.29,03/29,-357,+13,615,+412,+15,15,+462,+15,,,,
128,123,4707,磐亞,14.15,+0.25,+1.8,03/29,+2285,+16,2172,+414,+15,30.9,+431,+15,,,,
129,124,6147,頎邦,79,+1.1,+1.41,03/29,+22,+12,25056,+47,+15,1974,+17,+15,,,,
130,125,6196,帆宣,163.5,+0.5,+0.31,03/29,+24,+2,3021,+579,+15,498,+151,+15,,,,
131,126,6243,迅杰,66.3,+0.2,+0.3,03/29,+616,+4,1197,+1718,+15,80.7,+1135,+15,,,,
133,127,6245,立端,100.5,+0.5,+0.5,03/29,+229,+2,1181,+1232,+15,118,+652,+15,,,,
134,128,6426,統新,71,+2.8,+4.11,03/29,+1094,+13,515,+803,+15,36.3,+864,+15,,,,
135,129,6684,安格,84.6,+0.6,+0.71,03/29,+259,+4,4536,+49,+15,397,+54,+15,,,,
136,130,8227,巨有科技,277,+6.5,+2.4,03/29,+52,+2,2600,+82,+15,735,+60,+15,,,,
137,131,2424,隴華,30,-0.4,-1.32,03/29,+1284,-2,56,+3214,+14,1.68,+2574,+13,,,,
138,132,2613,中櫃,22.3,+0.4,+1.83,03/29,+1930,+12,431,+2779,+14,9.41,+2640,+14,,,,
139,133,3703,欣陸,30.55,+0.35,+1.16,03/29,+96,+183,6481,+158,+14,200,+91,+14,,,,
140,134,6469,大樹,299.5,+0.5,+0.17,03/29,+339,+2,249,+596,+14,74.5,+509,+8,,,,
143,137,6542,隆中,66.4,+4.4,+7.1,03/29,+658,+621,90,+168,+13,5.77,+181,+13,,,,
144,138,9934,成霖,17.55,+0.65,+3.85,03/29,-2264,+652,3827,+234,+13,66.6,+651,+13,,,,
148,142,1582,信錦,91.5,+2.3,+2.58,03/29,+420,+13,9178,+16,+12,840,+12,+12,,,,
149,143,2855,統一證,24.6,+0.4,+1.65,03/29,+199,+629,7282,+484,+12,178,+311,+12,,,,
150,144,2891,中信金,33.05,+0.65,+2.01,03/29,+2385,+4581,82922,+314,+12,2721,+129,+12,,,,
152,145,3003,健和興,70.4,+0.5,+0.72,03/29,+630,+4,386,-2515,+12,27.1,+2119,+12,,,,
153,146,3042,晶技,113,-1.5,-1.31,03/29,+75,-3,18169,+87,+12,2039,+39,+12,,,,
154,147,3234,光環,39.5,+1.7,+4.5,03/29,+764,+9,3199,+759,+12,125,+741,+12,,,,
