,排  名,代號,名稱,成交,財報  季度,市值  (億),現金  (億),應收  帳款  (億),存貨  (億),速動  資產  (億),流動  資產  (億),投資  (億),固定  資產  (億),無形  資產  (億),其他  資產  (億),資產  總額  (億),流動  負債  (億),長期  負債  (億),其他  負債  (億),負債  總額  (億),股東  權益  (億),每股  淨值  (元),財報  評分
85,82,8081,致新,179,22Q4,154,29.1,13.9,24.8,43,68.2,4.56,11.8,4.09,0.55,91.3,17.2,,0.67,18.9,72.4,76.14,77
86,83,3189,景碩,116,22Q4,525,167,56.6,34.8,236,281,4.32,316,0.48,120,726,154,132,49.6,338,388,75.8,68
87,84,6683,雍智科技,201.5,22Q4,54.9,11.8,2.15,5.4,14,19.5,,4.59,0.09,0.18,24.6,3.88,,,3.96,20.6,75.71,82
88,85,3293,鈊象,552,22Q4,778,85.3,16.5,1.11,123,125,4.48,10.8,0.57,0.09,142,34.2,,0.92,35.2,107,75.66,91
89,86,3548,兆利,64.6,22Q3,38.8,19.4,26,7.98,49.7,58.7,0.84,24.7,0.19,1.21,88.5,33.6,6.93,0.49,43.1,45.3,75.43,53
90,87,1264,德麥,268.5,22Q3,99.5,7.85,9.19,7.51,19.3,28.3,5.59,10.2,0.05,0.69,46.9,11.2,,0.12,12.1,34.7,75.29,68
91,88,2915,潤泰全,55.6,22Q4,614,95.5,2.89,5.34,98.4,104,891,14.1,0.01,0.7,1021,61.7,114,7.44,198,823,74.55,62
92,89,3679,新至陞,93.3,22Q4,58.8,38.7,11.8,4.52,50.9,55.7,16.6,14.8,,0.91,89,21.7,13,,42.5,46.5,73.7,57
93,90,8279,生展,163.5,22Q4,44.3,2.46,4.72,3.69,7.18,11.1,3.14,13.6,0.23,0.62,30.7,7.19,1.82,,10.8,19.9,73.49,57
95,91,8464,億豐,319,22Q4,935,93.7,25.5,57.2,119,192,0.1,85.9,3.26,8.19,306,65.8,,0.34,87.7,218,73.32,83
96,92,2354,鴻準,53,22Q4,750,780,244,49.8,1027,1082,342,42.3,20.3,1.49,1511,468,,1.91,479,1032,73.08,47
97,93,6223,旺矽,119.5,22Q4,113,23.8,11.4,27.5,35.2,64.1,1.95,34.3,2.88,2.52,109,27.9,10.4,0.28,40.1,68.9,73.07,64
98,94,6176,瑞儀,106.5,22Q4,495,368,153,35.9,521,611,2.92,25.5,0.28,7.58,657,274,,1.05,318,340,73.02,60
99,95,3714,富采,48.8,22Q4,368,161,101,48.3,271,327,90.2,220,49.1,7.96,730,103,36.9,4.81,164,567,72.38,40
100,96,6768,志強-KY,69.7,22Q4,137,55.7,34.1,18.2,89.7,138,0,46.8,0.36,1.41,200,42.4,8.62,0,59,141,72.16,62
101,97,6691,洋基工程,302.5,22Q3,205,33.3,20.5,4.49,96.5,105,,3.59,0.07,0.81,111,59.5,0.78,0,62,48.9,71.98,61
102,98,2308,台達電,287.5,22Q4,7468,615,897,798,1574,2405,46.2,863,772,36,4259,1250,443,95.1,2005,2254,71.91,51
103,99,2362,藍天,30,22Q4,190,70.5,25.7,37.8,118,171,665,40.3,0.58,16.4,942,161,226,12.2,524,418,71.41,38
104,100,5434,崇越,186,22Q4,338,43,71.6,52.9,133,206,42.4,36.4,4.68,3.43,299,141,13.2,1.31,166,133,71.32,47
105,101,3015,全漢,45.45,22Q4,85.1,37,40.4,30.6,82.9,114,64.1,14.9,2.25,0.53,202,59.8,1.24,0.12,64.9,137,71.15,45
106,102,3711,日月光投控,109.5,22Q4,4774,580,1309,928,2015,3004,402,2682,728,80.3,7071,2223,1378,119,3871,3199,70.15,51
107,103,8499,鼎炫-KY,107.5,22Q3,55.7,30.9,7.74,3.32,40.9,44.6,5.86,7.1,0.09,0.18,59,16.3,0.75,0.01,19.7,39.4,70.09,83
108,104,6239,力成,89.7,22Q4,681,204,147,108,379,498,4.47,648,11.3,11.1,1190,196,304,10.3,526,663,69.97,62
109,105,2548,華固,90.6,22Q4,251,17,1.56,342,20,381,5.23,2.07,,26.7,416,188,32.9,0.74,222,194,69.66,47
110,106,9914,美利達,163,22Q3,487,44.3,38,101,90.8,195,203,24.6,0.77,0.38,430,154,10.2,1.86,214,216,69.42,51
