,證券代號,公司名稱,董監持股比率
451,2722,夏都,57.99
452,2723,美食-KY,45.73
453,2727,王品,8.01
454,2731,雄獅,20.46
455,2739,寒舍,37.56
456,2748,雲品,68.59
457,2753,八方雲集,28.89
458,2801,彰銀,20.94
459,2809,京城銀,3.95
460,2812,台中銀,3.19
461,2816,旺旺保,20.88
462,2820,華票,34.22
463,2832,台產,26.58
464,2834,臺企銀,24.38
465,2836,高雄銀,56.38
466,2838,聯邦銀,11.4
467,2841,台開,3.02
468,2845,遠東銀,7.8
469,2849,安泰銀,21.88
470,2850,新產,6.34
471,2851,中再保,56.89
472,2852,第一保,18.49
473,2855,統一證,7.37
474,2867,三商壽,38.49
475,2880,華南金,25.25
476,2881,富邦金,24.26
477,2882,國泰金,1.27
478,2883,開發金,1.14
479,2884,玉山金,1.81
480,2885,元大金,4.63
481,2886,兆豐金,20.58
482,2887,台新金,4.05
483,2888,新光金,3.61
484,2889,國票金,6.81
485,2890,永豐金,2.69
486,2891,中信金,1.43
487,2892,第一金,18.98
488,2897,王道銀行,26.49
489,2901,欣欣,57.81
490,2903,遠百,17.31
491,2904,匯僑,38.52
492,2905,三商,34.61
493,2906,高林,31.24
494,2908,特力,13.08
495,2910,統領,19.16
496,2911,麗嬰房,18.1
497,2912,統一超,45.89
498,2913,農林,30.41
499,2915,潤泰全,10.17
500,2923,鼎固-KY,58.49
501,2929,淘帝-KY,0
502,2936,客思達-KY,-
503,2939,凱羿-KY,8.07
504,2945,三商家購,80.32
505,3002,歐格,25.97
506,3003,健和興,7.41
507,3004,豐達科,47.06
508,3005,神基,33.93
509,3006,晶豪科,5.28
510,3008,大立光,18.64
511,3010,華立,13.44
512,3011,今皓,10.43
513,3013,晟銘電,19.11
514,3014,聯陽,10.45
515,3015,全漢,23.57
516,3016,嘉晶,62.42
517,3017,奇鋐,17.38
518,3018,同開,5.34
519,3019,亞光,6.97
520,3021,鴻名,20.51
521,3022,威強電,14.92
522,3023,信邦,8.47
523,3024,憶聲,12.86
524,3025,星通,13.51
525,3026,禾伸堂,8.99
526,3027,盛達,19.46
527,3028,增你強,12.11
528,3029,零壹,7.04
529,3030,德律,18.86
530,3031,佰鴻,31.68
531,3032,偉訓,27.6
532,3033,威健,10.82
533,3034,聯詠,4.49
534,3035,智原,14.06
535,3036,文曄,20.91
536,3037,欣興,14.3
537,3038,全台,18.3
538,3040,遠見,25.99
539,3041,揚智,1.07
540,3042,晶技,6.59
541,3043,科風,0.73
542,3044,健鼎,4.91
543,3045,台灣大,5.86
544,3046,建卅卅,41.63
545,3047,訊舟,5.89
546,3048,益登,19.23
547,3049,和鑫,8.06
548,3050,鈺德,22.25
549,3051,力特,13.73
550,3052,夆典,7.62
551,3054,立萬利,53.58
552,3055,蔚華科,27.51
553,3056,總太,15.93
554,3057,喬鼎,10.52
555,3058,立德,6.28
556,3059,華晶科,5.63
557,3060,銘異,6.27
558,3062,建漢,3.05
559,3090,日電貿,5.7
560,3092,鴻碩,8.77
561,3094,聯傑,10.05
562,3130,一零四,14.71
563,3138,耀登,13.31
564,3149,正達,9.6
565,3164,景岳,13.59
566,3167,大量,14.11
567,3189,景碩,25.47
568,3209,全科,7.82
569,3229,晟鈦,38.01
570,3231,緯創,2.75
571,3257,虹冠電,39.34
572,3266,昇陽,13
573,3296,勝德,11.9
574,3305,昇貿,11.04
575,3308,聯德,29.48
576,3311,閎暉,41.65
577,3312,弘憶股,27.42
578,3321,同泰,16.71
579,3338,泰碩,20
580,3346,麗清,10.42
581,3356,奇偶,18.72
582,3376,新日興,9.12
583,3380,明泰,54.6
584,3383,新世紀,7.67
585,3406,玉晶光,9.96
586,3413,京鼎,7.31
587,3416,融程電,44.72
588,3419,譁裕,10.12
589,3432,台端,18.35
590,3437,榮創,2.95
591,3443,創意,34.83
592,3450,聯鈞,8.07
593,3454,晶睿,58.56
594,3481,群創,1.68
595,3494,誠研,6.73
596,3501,維熹,21.24
597,3504,揚明光,34.19
598,3515,華擎,46.54
599,3518,柏騰,8.41
600,3528,安馳,59.72
601,3530,晶相光,22.63
602,3532,台勝科,74.62
603,3533,嘉澤,9.2
604,3535,晶彩科,18.89
605,3536,誠創,23.72
606,3543,州巧,19.03
607,3545,敦泰,6.54
608,3550,聯穎,12.74
609,3557,嘉威,8.04
610,3563,牧德,10.19
