,序號,券商,價格,買進股數,賣出股數
444,445,884M玉山數位,36.95,0,300
445,446,8881國泰高雄,36.60,100,0
446,447,8881國泰高雄,36.70,50,0
447,448,8881國泰高雄,36.85,1000,0
448,449,8882國泰台中,36.35,1000,0
449,450,8882國泰台中,36.40,1000,0
450,451,8882國泰台中,36.45,1000,0
451,452,8882國泰台中,36.50,1350,0
452,453,8882國泰台中,36.55,1000,0
453,454,8882國泰台中,36.80,0,3000
454,455,8882國泰台中,36.85,2000,2000
455,456,8882國泰台中,36.95,1000,0
456,457,8883國泰松江,36.35,1000,0
457,458,8883國泰松江,37.00,103,0
458,459,8884國泰台南,36.40,12000,0
459,460,8884國泰台南,36.60,1000,0
460,461,8884國泰台南,36.65,1000,0
461,462,8886國泰新莊,36.40,1000,0
462,463,8886國泰新莊,36.45,1000,0
463,464,8886國泰新莊,36.80,1000,0
464,465,8886國泰新莊,36.95,1000,0
465,466,8886國泰新莊,37.20,1,0
466,467,8887國泰忠孝,36.40,1000,0
467,468,8887國泰忠孝,36.80,0,2000
468,469,8888國泰敦南,36.40,1000,0
469,470,8888國泰敦南,36.45,2000,0
470,471,8888國泰敦南,36.50,1187,0
471,472,8888國泰敦南,36.55,1000,0
472,473,8888國泰敦南,36.60,2100,1000
473,474,8888國泰敦南,36.65,1050,0
474,475,8888國泰敦南,36.70,1000,0
475,476,8888國泰敦南,36.75,50,2000
476,477,8888國泰敦南,36.80,1000,0
477,478,8888國泰敦南,36.85,1000,0
478,479,8888國泰敦南,36.90,1000,50
479,480,8888國泰敦南,36.95,0,100
480,481,8888國泰敦南,37.00,1000,0
481,482,888A國泰館前,36.35,0,18000
482,483,888A國泰館前,36.40,0,20000
483,484,888A國泰館前,36.50,1983,0
484,485,888A國泰館前,36.80,1000,0
485,486,888A國泰館前,37.00,100,0
486,487,888K國泰板橋,36.40,0,2000
487,488,888K國泰板橋,36.50,250,0
488,489,888K國泰板橋,36.55,1000,2
489,490,888K國泰板橋,36.65,1000,0
490,491,888K國泰板橋,36.70,2100,1000
491,492,888K國泰板橋,36.75,1000,0
492,493,888K國泰板橋,36.80,1101,0
493,494,888K國泰板橋,37.00,100,0
494,495,9105群益高盛,36.40,2000,0
495,496,9105群益高盛,36.80,0,1000
496,497,9105群益高盛,36.95,0,2000
497,498,9108群益海山,36.35,2000,0
498,499,9108群益海山,36.60,0,2000
499,500,9108群益海山,36.65,0,1000
500,501,9108群益海山,36.80,0,1000
501,502,9134群益開元,36.35,20000,0
502,503,9134群益開元,36.45,20000,0
503,504,9134群益開元,36.55,22000,0
504,505,9136群益西松,37.00,0,2000
505,506,913D群益潭子,36.65,10000,0
506,507,913D群益潭子,37.00,0,10000
507,508,913N群益土城,36.55,0,10000
508,509,9184群益台中,36.40,1000,0
509,510,9184群益台中,36.60,0,2000
510,511,9184群益台中,36.65,0,5000
511,512,9184群益台中,36.85,1000,0
512,513,9185群益台南,36.55,1000,0
513,514,918A群益中壢,36.95,1000,0
514,515,918C群益古亭,37.00,1,0
515,516,918d群益內湖,36.70,20,0
516,517,918E群益南京,36.65,0,2000
517,518,918F群益新店,36.50,1000,0
518,519,918g群益大甲,36.55,0,500
519,520,918G群益新莊,36.35,1000,0
520,521,918G群益新莊,36.45,1000,0
521,522,918G群益新莊,36.95,2000,0
522,523,918G群益新莊,37.00,1000,0
523,524,918i群益竹南,36.50,41,0
524,525,918i群益竹南,36.60,40,0
525,526,918i群益竹南,36.70,40,0
526,527,918i群益竹南,36.95,80,0
527,528,918i群益竹南,37.00,40,0
528,529,918M群益嘉義,36.65,1000,0
529,530,918M群益嘉義,36.70,0,1000
530,531,9202凱基中港,36.55,80,0
531,532,9204凱基台中,37.00,30,0
532,533,9205凱基三重,36.50,3000,0
533,534,9207凱基永和,36.50,0,3000
534,535,9207凱基永和,36.55,50,0
535,536,9207凱基永和,36.80,4000,50
536,537,9207凱基永和,37.20,0,1
537,538,9208凱基桃園,36.70,1000,0
538,539,920C凱基雙和,36.50,1000,0
539,540,920C凱基雙和,36.55,1000,0
540,541,920D凱基市府,36.55,2000,0
541,542,920F凱基站前,36.40,50000,0
542,543,920F凱基站前,36.50,0,10000
543,544,920F凱基站前,36.95,50,0
544,545,920F凱基站前,37.00,70,0
545,546,920H凱基基隆,36.55,2000,0
546,547,920H凱基基隆,36.80,0,2000
547,548,920H凱基基隆,36.85,0,2000
548,549,920M凱基宜蘭,36.50,3000,0
549,550,920M凱基宜蘭,36.60,0,4000
550,551,920M凱基宜蘭,37.00,900,0
551,552,920N凱基湖口,36.55,1000,0
552,553,920N凱基湖口,36.95,0,1000
553,554,920N凱基湖口,37.00,0,200
554,555,920V凱基新店,36.75,0,1000
555,556,920Z凱基台東,36.40,2000,0
556,557,920Z凱基台東,36.55,1000,0
557,558,9215凱基高美,37.00,1000,0
