,序號,券商,價格,買進股數,賣出股數
1833,1834,9A9e永豐高雄,24.80,0,1000
1834,1835,9A9e永豐高雄,24.85,0,1000
1835,1836,9A9E永豐板橋,24.75,0,2100
1836,1837,9A9E永豐板橋,24.80,0,2000
1837,1838,9A9f永豐中盛,24.70,1000,5000
1838,1839,9A9f永豐中盛,24.75,13000,6000
1839,1840,9A9f永豐中盛,24.80,1000,2000
1840,1841,9A9f永豐中盛,24.85,0,7000
1841,1842,9A9g永豐內湖,24.80,1000,0
1842,1843,9A9g永豐內湖,24.85,0,3000
1843,1844,9A9G永豐天母,24.70,0,1000
1844,1845,9A9h永豐台南,24.65,1000,0
1845,1846,9A9h永豐台南,24.70,3000,0
1846,1847,9A9h永豐台南,24.75,6300,12000
1847,1848,9A9h永豐台南,24.80,0,1000
1848,1849,9A9H永豐新莊,24.65,0,1000
1849,1850,9A9H永豐新莊,24.70,0,1000
1850,1851,9A9H永豐新莊,24.75,2000,2000
1851,1852,9A9i永豐新店,24.70,1000,0
1852,1853,9A9j永豐嘉義,24.75,0,6000
1853,1854,9A9J永豐板新,24.65,0,10000
1854,1855,9A9J永豐板新,24.70,1000,0
1855,1856,9A9J永豐板新,24.75,0,2000
1856,1857,9A9L永豐台中,24.75,2000,3000
1857,1858,9A9L永豐台中,24.80,0,4000
1858,1859,9A9L永豐台中,24.85,250,3000
1859,1860,9A9M永豐南投,24.65,5000,0
1860,1861,9A9M永豐南投,24.85,5000,4000
1861,1862,9A9N永豐桃盛,24.70,0,2000
1862,1863,9A9N永豐桃盛,24.75,0,4000
1863,1864,9A9N永豐桃盛,24.80,0,1000
1864,1865,9A9P永豐竹北,24.75,0,2000
1865,1866,9A9P永豐竹北,24.85,1000,0
1866,1867,9A9q永豐潮州,24.80,0,1000
1867,1868,9A9Q永豐豐原,24.70,10000,0
1868,1869,9A9Q永豐豐原,24.75,0,1000
1869,1870,9A9Q永豐豐原,24.80,10000,0
1870,1871,9A9r永豐北高,24.70,20000,0
1871,1872,9A9r永豐北高,24.80,0,1000
1872,1873,9A9s永豐彰化,24.70,0,2000
1873,1874,9A9s永豐彰化,24.75,0,800
1874,1875,9A9S永豐南京,24.65,1000,0
1875,1876,9A9S永豐南京,24.80,0,1000
1876,1877,9A9U永豐中正,24.70,0,150
1877,1878,9A9U永豐中正,24.75,0,1500
1878,1879,9A9U永豐中正,24.85,0,1000
1879,1880,9A9W永豐市政,24.65,2000,0
1880,1881,9A9W永豐市政,24.75,4056,300
1881,1882,9A9W永豐市政,24.80,0,1000
1882,1883,9A9W永豐市政,24.85,0,1000
1883,1884,9A9x永豐桃園,24.65,3000,0
1884,1885,9A9x永豐桃園,24.75,0,4100
1885,1886,9A9x永豐桃園,24.80,1000,2100
1886,1887,9A9x永豐桃園,24.85,2000,1000
1887,1888,9A9X永豐竹科,24.75,2000,50
1888,1889,9A9X永豐竹科,24.80,0,10000
1889,1890,9A9X永豐竹科,24.85,95,2000
1890,1891,9A9Z永豐復興,24.80,2000,0
